Brand Name 	Label
BRAVADO YUNGBLUD	BVYBL
Beth Wilson	BWIL
Casablanca	CABL
Caddyshack	CADD
Cameron Gray	CAGR
Captain Planet And The Planeteers	CAPP
Time Warner CHILLING ADVENTURES OF SABRINA: TELEVISION SERIES	CASA
Crash Bandicoot	CBAN
Crash Bandicoot 4	CBAN4
Time Warner CYBORG DC COMICS	CBCO
CARE BEARS	CBEA
Showdeer	CBIG
Chuck Black	CBLA
Cat Coquillette	CCOQ
CHRIS DYER	CDYE
Celandine Design	CELN
CHELSEA FOOTBALL CLUB	CFC
Chowder: Animated Series	CHOW
Universal Studios Chucky	CHUC
Universal Studios Bride of Chucky	CHUC
Universal Studios Seed of Chucky	CHUC
Christos Karapanos	CKAR
Celebrate Life Gallery	CLGAL
Hasbro Clue	CLUE
Cluedo	CLUED
Christmas Mix	CMIX
Carla Morrow	CMOR
Cartoon Network	CNET
COBRA KAI	COBR
Cobra Kai Custom	COBR
Call of Duty: Franchise	COD
Call of Duty: Black Ops Cold War	CODBCW
Call of Duty Modern Warfare 2	CODMW2
Call of Duty: Vanguard	CODV
Call of Duty: Warzone	CODW
Consejo Mundial De Lucha Libre	CONM
CORPSE BRIDE	CORP
Courage The Cowardly Dog	COUR
Cow and Chicken	COWC
Crystal Palace Football Club	CPFC
Crystal Palace Football Club Custom	CPFC
Chobopop	CPOP
CRYSTAL PALACE Football Club	CRFC
CRYSTAL PALACE Football Club CUSTOM	CRFC
Carrie Schmitt	CSCH
COSMO 18	CSMO
Cosmopolitan	CSP
CATSPAWS	CSPW
CATHY STANDRIDGE	CSTA
Caleb Troy	CTRO
Crash Team Rumble	CTRU
Charlotte Winter	CWIN
Caitlin Workman	CWOR
DRAGON AGE	DAGE
Dallas: Television Series	DALL
DAVE LOBLAW	DAVE
DAVID OLENICK	DAVO
DawgArt	DAWG
Drew Brophy	DBRO
Time Warner DC SUPER HERO GIRLS	DCHG
DC League Of Super Pets	DCLSP
Daniel Conway	DCON
Time Warner DC SUPER FRIENDS	DCSF
Time Warner DC Women Core	DCWO
Hasbro DUNGEONS & DRAGONS	DDRA
Demian Dressler	DDRE
Dumb And Dumber	DDUM
Dean Russo	DEAN
Def Leppard	DEFL
Derby County	DERB
DesirŽe Feldmann	DESI
Dexter's Laboratory	DEXT
Dennis Frates	DFRA
Dorit Fuhg	DFUH
DJ Semtex	DJSE
Denyse Klette	DKLE
David Lozeau	DLOZ
DinoMike	DMIK
DOCTOR WHO	DOCW
Doom Patrol	DOOM
Dragon Ball	DRGB
Dragon Ball Super	DRGBS
Dragon Ball Z	DRGBZ
Dr. Seuss	DRSE
